VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
2,09/24/2018 12:05:34 AM,09/24/2018 12:15:41 AM,N,1,126,169,1,3.69,13,0.5,0.5,0,0,,0.3,14.3,2,1
1,09/24/2018 12:05:39 AM,09/24/2018 12:16:36 AM,N,1,129,7,2,3.1,11.5,0.5,0.5,0,0,,0.3,12.8,2,1
1,09/24/2018 12:05:58 AM,09/24/2018 12:09:49 AM,N,1,223,179,1,0.6,4.5,0.5,0.5,2,0,,0.3,7.8,1,1
1,09/24/2018 12:05:58 AM,09/24/2018 12:12:49 AM,N,1,66,65,1,0.7,6,0.5,0.5,1.46,0,,0.3,8.76,1,1
2,09/24/2018 12:06:11 AM,09/24/2018 12:23:54 AM,N,1,7,28,1,9.13,26.5,0.5,0.5,0,0,,0.3,27.8,2,1
2,09/24/2018 12:06:32 AM,09/24/2018 12:12:09 AM,N,1,260,129,2,1.35,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
1,09/24/2018 12:06:32 AM,09/24/2018 12:21:01 AM,N,1,255,37,1,3.1,12.5,0.5,0.5,0,0,,0.3,13.8,2,1
1,09/24/2018 12:06:34 AM,09/24/2018 12:15:25 AM,N,1,74,43,1,1.4,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,09/24/2018 12:06:36 AM,09/24/2018 12:13:16 AM,N,1,82,82,1,0.79,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,09/24/2018 12:06:49 AM,09/24/2018 12:20:34 AM,N,1,74,163,1,4.32,14.5,0.5,0.5,0,0,,0.3,15.8,2,1
2,09/24/2018 12:06:59 AM,09/24/2018 12:17:09 AM,N,1,146,7,1,2.63,10,0.5,0.5,0,0,,0.3,11.3,2,1
2,09/24/2018 12:07:12 AM,09/24/2018 12:15:13 AM,N,1,25,181,1,1.6,8,0.5,0.5,0,0,,0.3,9.3,2,1
1,09/24/2018 12:07:14 AM,09/24/2018 12:12:20 AM,N,1,97,65,1,0.7,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
1,09/24/2018 12:07:18 AM,09/24/2018 12:10:48 AM,N,1,129,129,2,0.8,5,0.5,0.5,0,0,,0.3,6.3,2,1
1,09/24/2018 12:07:20 AM,09/24/2018 12:15:31 AM,N,1,181,49,3,1.5,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,09/24/2018 12:07:40 AM,09/24/2018 12:14:19 AM,N,1,82,157,1,1.42,7,0.5,0.5,0,0,,0.3,8.3,1,1
1,09/24/2018 12:07:41 AM,09/24/2018 12:15:34 AM,N,1,260,226,1,1.4,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,09/24/2018 12:07:46 AM,09/24/2018 12:12:25 AM,N,1,75,41,5,1.45,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,09/24/2018 12:07:50 AM,09/24/2018 12:10:58 AM,N,1,166,166,1,0.63,4.5,0.5,0.5,0,0,,0.3,5.8,1,1
